question,algorithm,feature_set,train_set_size,test_set_size,test_set_ratio,perf_measure,performance,other_info,seed
1,LGBM,parsed,12800,12800,1:1,accuracy,0.857890625,,1337
1,LGBM,parsed,12800,12800,1:1,accuracy,0.833203125,,1338
1,LGBM,parsed,12800,12800,1:1,accuracy,0.85109375,,1339
1,LGBM,format_agnostic,12800,12800,1:1,accuracy,0.852890625,,1337
1,LGBM,format_agnostic,12800,12800,1:1,accuracy,0.835,,1338
1,LGBM,format_agnostic,12800,12800,1:1,accuracy,0.847109375,,1339
1,LGBM,combined,12800,12800,1:1,accuracy,0.886328125,,1337
1,LGBM,combined,12800,12800,1:1,accuracy,0.881171875,,1338
1,LGBM,combined,12800,12800,1:1,accuracy,0.89359375,,1339
1,SVM,parsed,12800,12800,1:1,accuracy,0.770703125,,1337
1,SVM,parsed,12800,12800,1:1,accuracy,0.748515625,,1338
1,SVM,parsed,12800,12800,1:1,accuracy,0.7534375,,1339
1,SVM,format_agnostic,12800,12800,1:1,accuracy,0.698046875,,1337
1,SVM,format_agnostic,12800,12800,1:1,accuracy,0.7278125,,1338
1,SVM,format_agnostic,12800,12800,1:1,accuracy,0.708359375,,1339
1,SVM,combined,12800,12800,1:1,accuracy,0.77515625,,1337
1,SVM,combined,12800,12800,1:1,accuracy,0.757890625,,1338
1,SVM,combined,12800,12800,1:1,accuracy,0.744375,,1339
1,DT,parsed,25600,25600,1:1,accuracy,0.826484375,,1337
1,DT,parsed,25600,25600,1:1,accuracy,0.764609375,,1338
1,DT,parsed,25600,25600,1:1,accuracy,0.8300390625,,1339
1,DT,format_agnostic,25600,25600,1:1,accuracy,0.7795703125,,1337
1,DT,format_agnostic,25600,25600,1:1,accuracy,0.7444921875,,1338
1,DT,format_agnostic,25600,25600,1:1,accuracy,0.76125,,1339
1,DT,combined,25600,25600,1:1,accuracy,0.8176171875,,1337
1,DT,combined,25600,25600,1:1,accuracy,0.8265625,,1338
1,DT,combined,25600,25600,1:1,accuracy,0.8261328125,,1339
1,RF,parsed,25600,25600,1:1,accuracy,0.8171875,,1337
1,RF,parsed,25600,25600,1:1,accuracy,0.781953125,,1338
1,RF,parsed,25600,25600,1:1,accuracy,0.789765625,,1339
1,RF,format_agnostic,25600,25600,1:1,accuracy,0.8373046875,,1337
1,RF,format_agnostic,25600,25600,1:1,accuracy,0.8198828125,,1338
1,RF,format_agnostic,25600,25600,1:1,accuracy,0.841953125,,1339
1,RF,combined,25600,25600,1:1,accuracy,0.870625,,1337
1,RF,combined,25600,25600,1:1,accuracy,0.8571484375,,1338
1,RF,combined,25600,25600,1:1,accuracy,0.8766796875,,1339
1,LGBM,parsed,25600,25600,1:1,accuracy,0.891015625,,1337
1,LGBM,parsed,25600,25600,1:1,accuracy,0.8445703125,,1338
1,LGBM,parsed,25600,25600,1:1,accuracy,0.8776171875,,1339
1,LGBM,format_agnostic,25600,25600,1:1,accuracy,0.853984375,,1337
1,LGBM,format_agnostic,25600,25600,1:1,accuracy,0.84296875,,1338
1,LGBM,format_agnostic,25600,25600,1:1,accuracy,0.85875,,1339
1,LGBM,combined,25600,25600,1:1,accuracy,0.9130859375,,1337
1,LGBM,combined,25600,25600,1:1,accuracy,0.90265625,,1338
1,LGBM,combined,25600,25600,1:1,accuracy,0.9160546875,,1339
1,SVM,parsed,25600,25600,1:1,accuracy,0.7918359375,,1337
1,SVM,parsed,25600,25600,1:1,accuracy,0.7873046875,,1338
1,SVM,parsed,25600,25600,1:1,accuracy,0.7840625,,1339
1,SVM,format_agnostic,25600,25600,1:1,accuracy,0.7209765625,,1337
1,SVM,format_agnostic,25600,25600,1:1,accuracy,0.71,,1338
1,SVM,format_agnostic,25600,25600,1:1,accuracy,0.703046875,,1339
1,SVM,combined,25600,25600,1:1,accuracy,0.78921875,,1337
1,SVM,combined,25600,25600,1:1,accuracy,0.7841015625,,1338
1,SVM,combined,25600,25600,1:1,accuracy,0.79203125,,1339
1,DT,parsed,51200,51200,1:1,accuracy,0.81654296875,,1337
1,DT,parsed,51200,51200,1:1,accuracy,0.8238671875,,1338
1,DT,parsed,51200,51200,1:1,accuracy,0.79962890625,,1339
1,DT,format_agnostic,51200,51200,1:1,accuracy,0.7632421875,,1337
1,DT,format_agnostic,51200,51200,1:1,accuracy,0.790859375,,1338
1,DT,format_agnostic,51200,51200,1:1,accuracy,0.752109375,,1339
1,DT,combined,51200,51200,1:1,accuracy,0.84568359375,,1337
1,DT,combined,51200,51200,1:1,accuracy,0.819375,,1338
1,DT,combined,51200,51200,1:1,accuracy,0.84794921875,,1339
1,RF,parsed,51200,51200,1:1,accuracy,0.824453125,,1337
1,RF,parsed,51200,51200,1:1,accuracy,0.7979296875,,1338
1,RF,parsed,51200,51200,1:1,accuracy,0.7966796875,,1339
1,RF,format_agnostic,51200,51200,1:1,accuracy,0.848359375,,1337
1,RF,format_agnostic,51200,51200,1:1,accuracy,0.8396875,,1338
1,RF,format_agnostic,51200,51200,1:1,accuracy,0.85568359375,,1339
1,RF,combined,51200,51200,1:1,accuracy,0.87810546875,,1337
1,RF,combined,51200,51200,1:1,accuracy,0.8762890625,,1338
1,RF,combined,51200,51200,1:1,accuracy,0.8858203125,,1339
1,LGBM,parsed,51200,51200,1:1,accuracy,0.871796875,,1337
1,LGBM,parsed,51200,51200,1:1,accuracy,0.8690234375,,1338
1,LGBM,parsed,51200,51200,1:1,accuracy,0.8466796875,,1339
1,LGBM,format_agnostic,51200,51200,1:1,accuracy,0.86169921875,,1337
1,LGBM,format_agnostic,51200,51200,1:1,accuracy,0.8498828125,,1338
1,LGBM,format_agnostic,51200,51200,1:1,accuracy,0.861875,,1339
1,LGBM,combined,51200,51200,1:1,accuracy,0.92275390625,,1337
1,LGBM,combined,51200,51200,1:1,accuracy,0.92072265625,,1338
1,LGBM,combined,51200,51200,1:1,accuracy,0.9236328125,,1339
1,SVM,parsed,51200,51200,1:1,accuracy,0.76640625,,1337
1,SVM,parsed,51200,51200,1:1,accuracy,0.75955078125,,1338
1,SVM,parsed,51200,51200,1:1,accuracy,0.78826171875,,1339
1,SVM,format_agnostic,51200,51200,1:1,accuracy,0.72751953125,,1337
1,SVM,format_agnostic,51200,51200,1:1,accuracy,0.70916015625,,1338
1,SVM,format_agnostic,51200,51200,1:1,accuracy,0.70908203125,,1339
1,SVM,combined,51200,51200,1:1,accuracy,0.79443359375,,1337
1,SVM,combined,51200,51200,1:1,accuracy,0.78794921875,,1338
1,SVM,combined,51200,51200,1:1,accuracy,0.8022265625,,1339
1,DT,parsed,102400,102400,1:1,accuracy,0.848623046875,,1337
1,DT,parsed,102400,102400,1:1,accuracy,0.827861328125,,1338
1,DT,parsed,102400,102400,1:1,accuracy,0.83107421875,,1339
1,DT,format_agnostic,102400,102400,1:1,accuracy,0.785712890625,,1337
